INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (getCarAvailability) From WSDL (http://www.ebos.com.cy/seawise/seawiseservice.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (ArrayOfShip) From WSDL (http://training.costaclick.net/WAWS_1_7/Availability.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GuestResidence) From WSDL (http://training.costaclick.net/WAWS_1_7/Availability.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (MCHotel) From WSDL (http://training.costaclick.net/WAWS_1_7/Availability.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (Ship) From WSDL (http://training.costaclick.net/WAWS_1_7/Availability.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (GuestCabinInfo) From WSDL (http://training.costaclick.net/WAWS_1_7/Availability.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (Hotel) From WSDL (http://training.costaclick.net/WAWS_1_7/Availability.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (Slide) From WSDL (http://www.hotel-madeleine.de/Webservices/wsMadeleine.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (SearchPax) From WSDL (http://xml.majesticusa.com/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Logging initialized.
INFO main org.algorithm.impl.WSDLParser3 - Log4JExample - leaving the constructor ...
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (LoadHotelsRSS) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (LoadGastrosRSSCallback) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (contactInfo) Matched (StartRSSLoadingEvents) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (LoadPoiRSSCallback) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (StartRSSLoading) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (StartRSSLoadingRouten) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetVEPinDataByLatLon) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (GetCustomRoutingCallback) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (findDistance) Matched (LoadGastrosRSS) From WSDL (http://maps.oberpfaelzerwald.de/MapAjaxService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (HotelList) From WSDL (http://services.odeontours.com.tr/OdeonWebService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (PlaceList) From WSDL (http://services.odeontours.com.tr/OdeonWebService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (WithCampaign) From WSDL (http://services.odeontours.com.tr/OdeonWebService.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (rentCar) Matched (GetAffiliateAvailabilityByDestinationName) From WSDL (http://xml.alpharooms.com/affiliate.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (rentCar) Matched (GetAffiliateAvailability) From WSDL (http://xml.alpharooms.com/affiliate.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (roomInfo) Matched (GetSPOPageByKey) From WSDL (http://www.capital-tour.ru/AgentServiceEsystemTest/service.asmx?WSDL
INFO main org.algorithm.impl.WSDLParser3 - Complex (searchForFlight) Matched (wsg_HolidaysSearch) From WSDL (http://ws.henoo.net/holidays.asmx?WSDL
